title,type,director,country,date_added,release_year,rating,duration,listed_in
Cats & Dogs: The Revenge of Kitty Galore,Movie,Brad Peyton,"United States, Australia",1-Feb-19,2010,PG,82 min,"Children & Family Movies, Comedies"
Catwalk: Tales from the Cat Show Circuit,Movie,"Aaron Hancox, Michael McNamara",Canada,7-Jan-19,2018,TV-PG,75 min,"Documentaries, International Movies"
Caught on Camera,TV Show,,United Kingdom,15-Aug-16,2015,TV-MA,3 Seasons,"British TV Shows, Crime TV Shows, Docuseries"
Cave,Movie,Henrik Martin Dahlsbakken,Norway,15-Jun-17,2016,TV-MA,77 min,"Action & Adventure, International Movies, Thrillers"
Cedric the Entertainer: Live from the Ville,Movie,Troy Miller,United States,16-Sep-16,2016,TV-MA,60 min,Stand-Up Comedy
Celebrity Marriage,Movie,Pascal Amanfo,,6-Dec-19,2017,TV-PG,107 min,"Dramas, International Movies"
Cells at Work!,TV Show,,Japan,1-Jan-20,2018,TV-PG,1 Season,"Anime Series, Teen TV Shows"
Celluloid Man,Movie,Shivendra Singh Dungarpur,India,1-Apr-17,2012,TV-PG,156 min,"Documentaries, International Movies"
Cemara's Family,Movie,Yandy Laurens,Indonesia,24-Dec-20,2018,TV-G,110 min,"Children & Family Movies, Dramas, International Movies"
Center Stage,Movie,Nicholas Hytner,United States,1-Jan-20,2000,PG-13,116 min,Dramas
Chaahat,Movie,Mahesh Bhatt,India,1-May-17,1996,TV-14,148 min,"Dramas, International Movies, Romantic Movies"
Chaar Sahibzaade,Movie,Harry Baweja,India,1-Nov-18,2014,TV-PG,126 min,"Dramas, Faith & Spirituality, International Movies"
Chadi Jawani Budhe Nu,Movie,,India,1-Sep-17,1976,TV-PG,135 min,"Comedies, International Movies, Romantic Movies"
Chal Bhaag,Movie,Prakash Balwant Saini,India,1-Dec-18,2014,TV-14,110 min,"Comedies, Dramas, International Movies"
Chal Dhar Pakad,Movie,Aatmaram Dharne,India,15-Mar-18,2010,TV-14,129 min,"Comedies, Dramas, International Movies"
Chal Mere Bhai,Movie,David Dhawan,India,31-Dec-19,2000,TV-14,132 min,"Comedies, International Movies, Romantic Movies"
Chalay Thay Saath,Movie,Umer Adil,Pakistan,15-May-18,2017,TV-14,118 min,"Comedies, Dramas, International Movies"
Challenger,TV Show,,United States,16-Sep-20,2020,TV-14,1 Season,"Docuseries, Science & Nature TV"
Chalte Chalte,Movie,Aziz Mirza,India,1-Jul-18,2003,TV-14,166 min,"Dramas, International Movies, Romantic Movies"
Chaman Bahaar,Movie,Apurva Dhar Badgaiyann,India,19-Jun-20,2020,TV-MA,112 min,"Comedies, Dramas, International Movies"
Chamatkar,Movie,Rajiv Mehra,India,15-May-17,1992,TV-14,164 min,"Comedies, International Movies, Sci-Fi & Fantasy"
Chambers,TV Show,,United States,26-Apr-19,2019,TV-MA,1 Season,"TV Horror, TV Mysteries, Teen TV Shows"
Chameli,Movie,Sudhir Mishra,India,15-Feb-19,2004,TV-14,102 min,"Dramas, International Movies"
Champions,TV Show,,United States,8-Mar-19,2018,TV-14,1 Season,TV Comedies
Chance Pe Dance,Movie,Ken Ghosh,India,1-Nov-18,2010,TV-14,121 min,"Comedies, Dramas, International Movies"
Chandani: The Daughter of the Elephant Whisperer,Movie,Arne Birkenstock,"Germany, Sri Lanka",1-Mar-17,2010,TV-G,87 min,"Documentaries, International Movies"
Change in the Air,Movie,Dianne Dreyer,United States,1-Mar-20,2018,PG,95 min,Dramas
Chaotic Love Poems,Movie,Garin Nugroho,Indonesia,5-Jan-19,2016,TV-14,86 min,"Dramas, International Movies, Romantic Movies"
Chappaquiddick,Movie,John Curran,"United States, Sweden",1-Oct-18,2017,PG-13,106 min,Dramas
Chappie,Movie,Neill Blomkamp,"South Africa, United States",1-Jan-19,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy"
Charité,TV Show,,Germany,19-Apr-18,2017,TV-MA,1 Season,"International TV Shows, TV Dramas"
Charité at War,TV Show,,,15-Jun-19,2019,TV-MA,1 Season,"International TV Shows, TV Dramas"
Charlie and the Chocolate Factory,Movie,Tim Burton,"United Kingdom, United States",1-Jan-20,2005,PG,115 min,"Children & Family Movies, Comedies"
Charlie's Angels,Movie,McG,"United States, Germany",1-Oct-19,2000,PG-13,98 min,"Action & Adventure, Comedies"
Charlie's Angels: Full Throttle,Movie,McG,United States,1-Oct-19,2003,PG-13,106 min,"Action & Adventure, Comedies"
Charlie's Colorforms City,TV Show,,United States,22-Mar-19,2019,TV-Y,1 Season,Kids' TV
Charlotte's Web,Movie,"Charles A. Nichols, Iwao Takamoto",United States,23-Nov-19,1973,G,94 min,"Children & Family Movies, Classic Movies"
Charmed,TV Show,,United States,9-May-20,2019,TV-14,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy"
Charming,Movie,Ross Venokur,"Canada, United States, Cayman Islands",8-Jan-21,2021,TV-Y7,85 min,"Children & Family Movies, Comedies"
Chashme Baddoor,Movie,David Dhawan,India,5-Jul-20,2013,TV-14,121 min,"Comedies, International Movies, Music & Musicals"
Chashme Buddoor,Movie,David Dhawan,India,1-May-17,2013,TV-PG,121 min,"Comedies, International Movies, Music & Musicals"
Chasing Amy,Movie,Kevin Smith,United States,1-Jan-20,1997,R,113 min,"Comedies, Cult Movies, Dramas"
Chasing Cameron,TV Show,,United States,27-Dec-16,2016,TV-14,1 Season,"Reality TV, Teen TV Shows"
Chasing Coral,Movie,Jeff Orlowski,United States,14-Jul-17,2017,TV-PG,89 min,Documentaries
Chasing Monsters,TV Show,,Canada," December 15, 2017",2016,TV-PG,2 Seasons,"Docuseries, Reality TV, Science & Nature TV"
Chasing the Dragon,Movie,"Wong Jing, Jason Kwan","Hong Kong, China",19-Apr-18,2017,TV-MA,129 min,"Action & Adventure, Dramas, International Movies"
Chasing Trane,Movie,John Scheinfeld,United States,13-Nov-17,2016,TV-PG,99 min,"Documentaries, Music & Musicals"
Chatô: The King of Brazil,Movie,Guilherme Fontes,Brazil,1-Oct-16,2015,TV-MA,105 min,"Dramas, International Movies"
Chauthi Koot,Movie,Gurvinder Singh,"India, France",1-Feb-17,2015,TV-14,116 min,"Dramas, Independent Movies, International Movies"
Cheapest Weddings,TV Show,,Australia,1-Dec-17,2016,TV-14,1 Season,"International TV Shows, Reality TV"
Check The Store Next Door: The Next Chapter,TV Show,,Indonesia,2-Dec-20,2020,TV-14,2 Seasons,"International TV Shows, TV Comedies, TV Dramas"
Cheer,TV Show,,United States,8-Jan-20,2020,TV-MA,1 Season,"Docuseries, Reality TV, Teen TV Shows"
Cheer Squad,TV Show,,United States,14-Mar-17,2016,TV-PG,1 Season,"Reality TV, Teen TV Shows"
Cheers,TV Show,,United States," July 1, 2017",1992,TV-PG,11 Seasons,"Classic & Cult TV, TV Comedies"
Cheese in the Trap,TV Show,Lee Yoon-jung,South Korea,1-Oct-19,2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Chef,Movie,Jon Favreau,United States,1-Dec-20,2014,R,115 min,"Comedies, Independent Movies"
Chef & My Fridge,TV Show,,South Korea," August 4, 2017",2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Reality TV"
Chef's Table,TV Show,,United States,22-Feb-19,2019,TV-MA,6 Seasons,"Docuseries, Reality TV"
Chef's Table: BBQ,TV Show,,United States,2-Sep-20,2020,TV-14,1 Season,"Docuseries, Reality TV"
Chef's Table: France,TV Show,,,2-Sep-16,2016,TV-14,1 Season,Docuseries
Chelsea,TV Show,,United States,14-Apr-17,2017,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies"
Chelsea Does,TV Show,,United States,23-Jan-16,2016,TV-MA,1 Season,"Docuseries, Science & Nature TV"
Chelsea Handler: Uganda Be Kidding Me Live,Movie,James Yukich,United States,10-Oct-14,2014,TV-MA,71 min,Stand-Up Comedy
Chelsea Peretti: One of the Greats,Movie,Lance Bangs,United States,14-Nov-14,2014,TV-MA,75 min,Stand-Up Comedy
Chennai Express,Movie,Rohit Shetty,India,31-Aug-18,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies"
Chernobyl Diaries,Movie,Bradley Parker,United States,1-Aug-18,2012,R,88 min,"Horror Movies, Thrillers"
Cheuk Wan-Chi: Two Night Stand,TV Show,,,15-Dec-17,2015,TV-MA,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies"
Chewin' the Fat,TV Show,,United Kingdom,1-Oct-16,1999,TV-14,1 Season,"British TV Shows, TV Comedies"
Chewing Gum,TV Show,,United Kingdom," April 4, 2017",2017,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows"
Chhota Bheem,TV Show,,India,11-Jul-19,2019,TV-Y,1 Season,Kids' TV
Chhota Bheem and the Curse of Damyaan,Movie,Rajiv Chilaka,India,1-Apr-20,2012,TV-Y7,87 min,Children & Family Movies
Chhota Bheem Aur Kaala Yodha,Movie,"Sidheswar Shukla, Asit Mohapatra",,10-May-19,2018,TV-Y7,63 min,Movies
Chhota Bheem Ka Romani Adventure,Movie,"Asit Mohapatra, Shyamal Chaulia",,10-May-19,2018,TV-Y7,62 min,Children & Family Movies
Chhota Bheem Ka Troll Se Takkar,Movie,"Shyamal Chaulia, Asit Mohapatra",,10-May-19,2018,TV-Y7,62 min,Movies
Chhota Bheem Kung Fu Dhamaka Series,TV Show,,,1-Jan-20,2019,TV-Y7,1 Season,Kids' TV
Chhota Bheem Kungfu Dhamaka,Movie,"Rajiv Chilaka, Binayak Das",India,15-Aug-19,2019,TV-Y7,112 min,Children & Family Movies
Chicago Typewriter,TV Show,,South Korea,1-Oct-19,2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Chicken Kokkachi,Movie,Anuranjan Premji,India,1-Jul-18,2017,TV-14,113 min,"Comedies, International Movies"
Chicken Little,Movie,Mark Dindal,United States,16-Mar-16,2005,G,82 min,"Children & Family Movies, Comedies"
Chicken Soup for the Soul's Being Dad,TV Show,,United States,27-Aug-18,2018,TV-MA,1 Season,Docuseries
Chico Bon Bon and the Very Berry Holiday,Movie,Darragh O'Connell,,3-Dec-20,2020,TV-Y,25 min,Children & Family Movies
Chico Bon Bon: Monkey with a Tool Belt,TV Show,,United States,27-Oct-20,2020,TV-Y,4 Seasons,Kids' TV
Chief Daddy,Movie,Niyi Akinmolayan,Nigeria,15-Mar-19,2018,TV-MA,98 min,"Comedies, Dramas, International Movies"
Chief of Staff,TV Show,,South Korea,12-Nov-19,2019,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, TV Dramas"
Child's Play,Movie,Tom Holland,United States,31-Dec-19,1988,R,87 min,"Cult Movies, Horror Movies"
Children of Adam,TV Show,,Lebanon,12-Dec-20,2020,TV-14,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
Children of God,Movie,John Smithson,United Kingdom,1-Aug-16,1994,TV-MA,63 min,Documentaries
Children of the Sea,Movie,Ayumu Watanabe,Japan,1-Sep-20,2019,TV-PG,112 min,Anime Features
Children of the Whales,TV Show,,Japan,13-Mar-18,2017,TV-14,1 Season,"Anime Series, International TV Shows"
Chill with Bob Ross,TV Show,,,1-Dec-16,1994,TV-G,1 Season,TV Shows
Chillar Party,Movie,"Vikas Bahl, Nitesh Tiwari",India,2-Aug-18,2011,TV-PG,127 min,"Children & Family Movies, Comedies, Dramas"
Chilling Adventures of Sabrina,TV Show,,United States,31-Dec-20,2020,TV-14,4 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
China Salesman,Movie,Tan Bing,China,24-Sep-18,2017,TV-MA,111 min,"Action & Adventure, International Movies"
Chingo Bling: They Can't Deport Us All,Movie,Luis Lopez,,1-Jun-17,2017,TV-MA,63 min,Stand-Up Comedy
Chip and Potato,TV Show,,"United Kingdom, Canada",29-Nov-19,2019,TV-Y,2 Seasons,Kids' TV
Chippa,Movie,Safdar Rahman,India,1-Jun-20,2020,TV-14,92 min,"Comedies, Dramas, Independent Movies"
Chittagong,Movie,Bedabrata Pain,"United States, India, Bangladesh",1-Jan-18,2012,NR,105 min,"Dramas, Independent Movies, International Movies"
Chitty Chitty Bang Bang,Movie,Ken Hughes,"United Kingdom, United States",1-Jan-20,1968,G,146 min,"Children & Family Movies, Classic Movies, Comedies"
Chloe,Movie,Atom Egoyan,"United States, Canada, France",1-Jan-20,2009,R,96 min,"Independent Movies, Thrillers"
Chocolate,TV Show,,South Korea,30-Nov-19,2019,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Chocolate City: Vegas Strip,Movie,Jean-Claude La Marre,United States,12-Aug-17,2017,TV-MA,90 min,Dramas
Choked: Paisa Bolta Hai,Movie,Anurag Kashyap,India,5-Jun-20,2020,TV-14,114 min,"Dramas, International Movies"
Chopsticks,Movie,Sachin Yardi,India,31-May-19,2019,TV-MA,101 min,"Comedies, Dramas, Independent Movies"
Chosen,TV Show,,China,17-Oct-19,2019,TV-14,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Chris Brown: Welcome to My Life,Movie,Andrew Sandler,United States,7-Oct-17,2017,TV-MA,80 min,"Documentaries, Music & Musicals"
Chris D'Elia: Incorrigible,Movie,Bill D'Elia,United States,17-Apr-15,2015,TV-MA,84 min,Stand-Up Comedy
Chris D'Elia: Man on Fire,Movie,Bill D'Elia,United States,27-Jun-17,2017,TV-MA,66 min,Stand-Up Comedy
Chris D'Elia: No Pain,Movie,Matt D'Elia,United States,14-Apr-20,2020,TV-MA,55 min,Stand-Up Comedy
Chris Rock Total Blackout: The Tamborine Extended Cut,Movie,Chris Rock,,12-Jan-21,2021,TV-MA,98 min,Stand-Up Comedy
Chris Rock: Tamborine,Movie,Bo Burnham,United States,14-Feb-18,2018,TV-MA,65 min,Stand-Up Comedy
Chris Tucker Live,Movie,Phil Joanou,United States,10-Jul-15,2015,TV-MA,92 min,Stand-Up Comedy
Christian Mingle,Movie,Corbin Bernsen,United States,6-Jun-19,2014,PG,99 min,"Comedies, Faith & Spirituality, Romantic Movies"
Christiane Amanpour: Sex & Love Around the World,TV Show,,United States,30-Sep-18,2018,TV-MA,1 Season,Docuseries
Christina P: Mother Inferior,Movie,Jay Karas,United States,10-Oct-17,2017,TV-MA,59 min,Stand-Up Comedy
Christine,Movie,Antonio Campos,"United Kingdom, United States",13-Aug-20,2016,R,119 min,"Dramas, Independent Movies"
Christmas Break-In,Movie,Michael Kampa,United States,1-Nov-20,2019,TV-PG,87 min,"Children & Family Movies, Comedies"
Christmas Crossfire,Movie,Detlev Buck,Germany,4-Dec-20,2020,TV-MA,106 min,"Comedies, International Movies, Thrillers"
Christmas Crush,Movie,Marita Grabiak,"Canada, United States",4-Nov-19,2012,TV-PG,87 min,"Comedies, Romantic Movies"
Christmas in the Heartland,Movie,Harvey Lowry,United States,1-Nov-19,2017,TV-PG,112 min,Dramas
Christmas in the Smokies,Movie,Gary Wheeler,United States,1-Mar-19,2015,TV-G,88 min,"Children & Family Movies, Dramas, Romantic Movies"
Christmas Inheritance,Movie,Ernie Barbarash,United States,15-Dec-17,2017,TV-G,105 min,"Dramas, International Movies, Romantic Movies"
Christmas Survival,Movie,James Dearden,United Kingdom,1-Nov-19,2018,TV-MA,101 min,Comedies
Christmas Wedding Planner,Movie,Justin G. Dyck,Canada,15-Nov-18,2017,PG,86 min,"Comedies, International Movies, Romantic Movies"
Christmas with a Prince,Movie,Justin G. Dyck,Canada,4-Nov-20,2018,TV-PG,86 min,"Comedies, Dramas, Romantic Movies"
Christmas With A View,Movie,Justin G. Dyck,Canada,1-Nov-18,2018,TV-PG,91 min,"International Movies, Romantic Movies"
Christmas with the Kranks,Movie,Joe Roth,United States,1-Jan-19,2004,PG,99 min,"Children & Family Movies, Comedies"
Christopher Robin,Movie,Marc Forster,United States,5-Mar-19,2018,PG,104 min,"Children & Family Movies, Comedies, Dramas"
Chronically Metropolitan,Movie,Xavier Manrique,United States,1-Feb-20,2016,TV-MA,86 min,"Comedies, Dramas, Independent Movies"
Chronicle of an Escape,Movie,Israel Adrián Caetano,Argentina,15-Jun-18,2006,R,104 min,"Dramas, International Movies, Thrillers"
"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",TV Show,,,18-Oct-19,2019,TV-Y,1 Season,Kids' TV
ChuChu TV Nursery Rhymes & Kids Songs (Hindi),TV Show,,India,18-Apr-20,2019,TV-Y,1 Season,Kids' TV
ChuChuTV Bedtime Stories & Moral Stories for Kids (English),Movie,,,18-Oct-19,2019,TV-Y,47 min,Children & Family Movies
ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),Movie,,,18-Oct-19,2019,TV-Y,56 min,Children & Family Movies
ChuChuTV Surprise Eggs Learning Videos (English),Movie,,,18-Oct-19,2019,TV-Y,61 min,Children & Family Movies
ChuChuTV Surprise Eggs Learning Videos (Hindi),Movie,,,18-Oct-19,2019,TV-Y,34 min,Children & Family Movies
Chuck Chicken,TV Show,,Malaysia,15-Nov-17,2017,TV-Y7,1 Season,Kids' TV
Chup Chup Ke,Movie,"Priyadarshan, Kookie V. Gulati",India,1-Nov-18,2006,TV-PG,158 min,"Comedies, Dramas, International Movies"
Chupan Chupai,Movie,Mohsin Ali,Pakistan,15-Jan-19,2017,TV-14,118 min,"Comedies, International Movies"
Chupke Chupke,Movie,Hrishikesh Mukherjee,India,31-Dec-19,1975,TV-PG,127 min,"Classic Movies, Comedies, International Movies"
Churchill’s Secret Agents: The New Recruits,TV Show,,United Kingdom,29-Jun-18,2018,TV-MA,1 Season,"British TV Shows, International TV Shows, Reality TV"
CIA: Comrade in America,Movie,Amal Neerad,India,1-May-18,2017,TV-14,130 min,"Action & Adventure, Dramas, International Movies"
Cinar Agaci,Movie,Handan İpekçi,Turkey,28-Apr-20,2011,TV-14,115 min,"Comedies, Dramas, International Movies"
Cinderella and the Four Knights,TV Show,,South Korea,15-Dec-19,2016,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Cinta 100KG,TV Show,,,8-May-19,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Cinta Iris,TV Show,,,8-May-19,2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Cinta Si Wedding Planner,TV Show,,,8-May-19,2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Cinta Teruna Kimchi,TV Show,,,8-May-19,2016,TV-PG,1 Season,"International TV Shows, TV Dramas"
Circle,Movie,"Aaron Hann, Mario Miscione",United States,16-Oct-15,2015,TV-MA,86 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
Circus of Books,Movie,Rachel Mason,United States,22-Apr-20,2020,TV-MA,87 min,"Documentaries, LGBTQ Movies"
Cirque du Freak: The Vampire's Assistant,Movie,Paul Weitz,United States,16-Apr-18,2009,PG-13,109 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
Citation,Movie,Kunle Afolayan,Nigeria,6-Nov-20,2020,TV-MA,151 min,"Dramas, International Movies"
Cities of Last Things,Movie,Wi Ding Ho,"Taiwan, China, France, United States",12-Jul-19,2018,TV-MA,106 min,"Dramas, Independent Movies, International Movies"
City in the Sky,TV Show,,United Kingdom,1-Oct-17,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
City of God,Movie,"Fernando Meirelles, Katia Lund","Brazil, France, Germany",1-Jan-20,2002,R,130 min,"Dramas, Independent Movies, International Movies"
City of God: 10 Years Later,Movie,"Cavi Borges, Luciano Vidigal",Brazil,7-May-18,2013,TV-MA,69 min,"Documentaries, International Movies"
City of Joy,Movie,Madeleine Gavin,"United States,",7-Sep-18,2018,TV-MA,77 min,Documentaries
City of Tiny Lights,Movie,Pete Travis,United Kingdom,21-Jul-17,2016,TV-MA,110 min,"Dramas, International Movies, Thrillers"
Civilizations,TV Show,,United Kingdom,1-Oct-18,2018,TV-14,1 Season,"British TV Shows, Docuseries"
Clair Obscur,Movie,Yesim Ustaoglu,"Turkey, France, Germany, Poland",13-Oct-17,2016,TV-MA,102 min,"Dramas, International Movies"
CLANNAD,TV Show,,Japan,1-Nov-19,2008,TV-PG,2 Seasons,"Anime Series, Teen TV Shows"
Clarence Clemons: Who Do I Think I Am?,Movie,Nick Mead,United States,14-Nov-19,2019,TV-MA,88 min,"Documentaries, Music & Musicals"
Clash of the Titans,Movie,Louis Leterrier,"United States, United Kingdom, Australia",1-Aug-19,2010,PG-13,106 min,"Action & Adventure, Sci-Fi & Fantasy"
Class of '61,Movie,Gregory Hoblit,United States,1-Apr-18,1993,TV-PG,91 min,Dramas
Class of '83,Movie,Atul Sabharwal,India,21-Aug-20,2020,TV-14,98 min,"Dramas, International Movies, Thrillers"
Class Rank,Movie,Eric Stoltz,United States,18-Sep-18,2018,TV-MA,103 min,Comedies
Classic Legends,TV Show,,India,15-May-17,2012,TV-PG,1 Season,"Docuseries, International TV Shows"
Cleo & Cuquin,TV Show,Fernando Moro,Spain,1-Jul-20,2020,TV-Y,2 Seasons,Kids' TV
Cleopatra Jones,Movie,Jack Starrett,United States,1-Nov-19,1973,PG,89 min,"Action & Adventure, Classic Movies"
Cleverman,TV Show,,"Australia, New Zealand, United States",5-Sep-20,2017,TV-MA,1 Season,"TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers"
Click,Movie,Frank Coraci,United States,1-Jan-20,2006,PG-13,108 min,"Comedies, Sci-Fi & Fantasy"
Click for Murder,TV Show,,United Kingdom,17-Sep-17,2017,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
Clinical,Movie,Alistair Legrand,United States,13-Jan-17,2017,TV-MA,104 min,"Horror Movies, Thrillers"
Clive Davis: The Soundtrack of Our Lives,Movie,Chris Perkel,United States,17-Sep-19,2017,TV-MA,124 min,"Documentaries, Music & Musicals"
Close,Movie,,"United Kingdom, United States",18-Jan-19,2019,TV-MA,95 min,"Action & Adventure, International Movies"
Close Enemies,Movie,David Oelhoffen,"France, Belgium",29-Jan-20,2018,TV-MA,112 min,"Dramas, International Movies"
Close Your Eyes Before It’s Dark,TV Show,,Taiwan,1-Aug-17,2016,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Closed Circuit,Movie,John Crowley,"United Kingdom, United States",16-Oct-17,2013,R,96 min,"Dramas, Thrillers"
Cloud Atlas,Movie,"Lilly Wachowski, Lana Wachowski, Tom Tykwer","Germany, United States, Hong Kong, Singapore",1-Aug-17,2012,R,172 min,"Action & Adventure, Cult Movies, Dramas"
Clouds of Sils Maria,Movie,Olivier Assayas,"France, Germany, Switzerland",12-Feb-17,2014,R,124 min,"Dramas, International Movies"
Cloudy with a Chance of Meatballs,Movie,"Phil Lord, Christopher Miller",United States,1-Jan-21,2009,PG,90 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
Cloudy with a Chance of Meatballs 2,Movie,"Cody Cameron, Kris Pearn",United States,15-Nov-20,2013,PG,95 min,"Children & Family Movies, Comedies"
Cloverfield,Movie,Matt Reeves,United States,1-Jan-20,2008,PG-13,85 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
"Club de Cuervos Presents: I, Potro",Movie,Marcos Bucay,"Mexico, Argentina",19-Oct-18,2018,TV-MA,51 min,Movies
Club de Cuervos Presents: The Ballad of Hugo Sánchez,TV Show,,United States,18-Jun-18,2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
Club Friday The Series 6,TV Show,,,9-Mar-19,2015,TV-MA,9 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas"
Club Friday The Series 7,TV Show,,,18-Jun-18,2016,TV-MA,7 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas"
Club Friday The Series 8,TV Show,,,2-Feb-19,2017,TV-MA,8 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
Club Friday To Be Continued - Friend & Enemy,TV Show,,,20-Apr-18,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Club Friday To Be Continued - My Beautiful Tomboy,TV Show,,,13-Apr-18,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Club Friday To Be Continued - The Promise,TV Show,,,20-Apr-18,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Club of Crows,TV Show,,Mexico,25-Jan-19,2019,TV-MA,4 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
Coach Carter,Movie,Thomas Carter,"United States, Germany",1-Jan-20,2005,PG-13,137 min,"Dramas, Sports Movies"
Coach Snoop,TV Show,,United States,2-Feb-18,2018,TV-MA,1 Season,"Docuseries, Reality TV"
Cobra Kai,TV Show,,United States,1-Jan-21,2021,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas"
Cocaine,TV Show,,United Kingdom,1-Aug-16,2005,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
Cocaine Coast,TV Show,,Spain,3-Aug-18,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Coco y Raulito: Carrusel de ternura,Movie,"Raúl Campos, Jan Suter",Mexico,27-Jul-18,2018,TV-MA,57 min,Stand-Up Comedy
Cocomelon,TV Show,,United States,18-Dec-20,2020,TV-Y,2 Seasons,Kids' TV
Cocomong,TV Show,,United States,15-Dec-19,2015,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
Code 8,Movie,Jeff Chan,Canada,11-Apr-20,2019,TV-MA,98 min,"Action & Adventure, Independent Movies, International Movies"
Code Geass: Lelouch of the Rebellion,TV Show,,Japan,1-May-19,2008,TV-MA,2 Seasons,"Anime Series, International TV Shows"
Code Lyoko,TV Show,,"France, Belgium",1-Oct-20,2007,TV-Y7,4 Seasons,Kids' TV
Code Name: The Cleaner,Movie,Les Mayfield,United States,1-Nov-19,2007,PG-13,91 min,"Action & Adventure, Comedies"
Coffee & Kareem,Movie,Michael Dowse,United States,3-Apr-20,2020,TV-MA,88 min,"Action & Adventure, Comedies"
Coffee for All,Movie,"Fluvio Iannuci, Roly Santos","Italy, United States, Argentina",1-May-18,2017,TV-PG,69 min,"Documentaries, International Movies"
Coffee with D,Movie,Vishal Mishra,India,1-Nov-17,2017,TV-PG,120 min,"Comedies, Independent Movies, International Movies"
Coin Heist,Movie,Emily Hagins,United States,6-Jan-17,2017,TV-14,98 min,"Children & Family Movies, Dramas"
Cold Case Files,TV Show,,United States,15-Sep-19,2017,TV-14,1 Season,"Crime TV Shows, Docuseries"
Cold Case Files Classic,TV Show,,United States,15-Sep-20,1999,TV-MA,1 Season,"Crime TV Shows, Docuseries"
Cold Feet,Movie,Moses Inwang,Nigeria,15-Jul-20,2019,TV-14,98 min,"Dramas, International Movies, Romantic Movies"
Cold Harbour,Movie,Carey McKenzie,South Africa,1-Oct-20,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies"
Colin Quinn: Red State Blue State,Movie,Robert Moresco,,9-Aug-19,2019,TV-14,66 min,Stand-Up Comedy
Colin Quinn: The New York Story,Movie,Jerry Seinfeld,United States,18-Nov-16,2016,TV-MA,62 min,Stand-Up Comedy
Colin Quinn: Unconstitutional,Movie,Jay Chapman,United States,15-Aug-17,2015,TV-MA,56 min,Stand-Up Comedy
Colkatay Columbus,Movie,Saurav Palodhi,India,30-Mar-17,2016,TV-14,118 min,"Comedies, Dramas, Independent Movies"
Collateral,TV Show,,"United Kingdom, United States",9-Mar-18,2018,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
College Romance,TV Show,,India,1-Oct-19,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Colonia,Movie,Florian Gallenberger,"Germany, France, Luxembourg, United Kingdom, United States",14-Jul-18,2015,R,110 min,"Dramas, Independent Movies, International Movies"
